Street Name,House #,Zip Code,Visit 1 (11-18-22),% full,Plastic bags/wrap,Clamshell,Napkins/tissue,Black plastic/takeout,Food/Liquid,Foil/alum,Styro,SUPs,Other/Notes,Visit 2 (12-2-22),% full,Plastic bags/wrap,Clamshell,Napkins/tissue,Black plastic/takeout,Food/Liquid,Foil/alum,Styro,SUPs,Other/Notes,Visit 3 (12-9-22),% full,Plastic bags/wrap,Clamshell,Napkins/tissue,Black plastic/takeout,Food/Liquid,Foil/alum,Styro,SUPs,Other/Notes,Visit 4 (1-27-23),% full,Plastic bags/wrap,Clamshell,Napkins/tissue,Black plastic/takeout,Food/Liquid,Foil/alum,Styro,SUPs,Other/Notes
STRATFORD DR.,209,27516,O,100,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,"hard plastic plates, wood, candle",N,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,O,100,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,O,75,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"receipt, plastic molding, blister packaging"
STRATFORD DR.,210,27516,N,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,O,100,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,bagged,O,50,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,mailers,O,25,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"medical waste, netting"
STRATFORD DR.,211,27516,S,25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,S,25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,S,50,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,O,75,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"aerosol can, hanger"
STRATFORD DR.,212,27516,N,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,S,25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,O,,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,rigid plastic,N,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
STRATFORD DR.,213,27516,O,25,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,bagged,O,25,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,L,75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,small wrap,N,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
STRATFORD DR.,214,27516,O,50,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,receipts,L,25,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,L,25,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"coffee cup, ice cream, food bag",L,100,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,rigid plastic
STRATFORD DR.,215,27516,O,50,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,hard plastic plate,L,25,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,N,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,N,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
STRATFORD DR.,216,27516,N,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,L,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,plastic molding,L,50,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,S,25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
STRATFORD DR.,217,27516,O,50,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,S,75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,S,25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,S,25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pill bottle
STRATFORD DR.,218,27516,S,50,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,S,50,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,N,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,S,75,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,
STRATFORD DR.,219,27516,O,50,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,"wax paper, blister",O,100,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"coffee bag, wrapping paper",O,50,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,plant pots,S,25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,
STRATFORD DR.,220,27516,L,50,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,leaves,S,75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,N,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,S,75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
